frame,side weight,sensitivity,threshold,buf size,gamma,goal
489,8.0,0.5,7.0,12,0.96,0
488,8.0,0.5,7.0,12,0.97,0
490,8.0,0.5,7.0,12,0.98,0
490,8.0,0.5,7.0,12,0.99,0
488,8.0,0.5,7.0,16,0.95,0
486,8.0,0.5,7.0,16,0.96,0
484,8.0,0.5,7.0,16,0.97,0
483,8.0,0.5,7.0,16,0.98,0
481,8.0,0.5,7.0,16,0.99,0
483,8.0,0.5,7.0,20,0.95,0
480,8.0,0.5,7.0,20,0.96,0
479,8.0,0.5,7.0,20,0.97,0
478,8.0,0.5,7.0,20,0.98,0
477,8.0,0.5,7.0,20,0.99,0
115,8.0,0.5,7.0,24,0.95,0
115,8.0,0.5,7.0,24,0.96,0
114,8.0,0.5,7.0,24,0.97,0
113,8.0,0.5,7.0,24,0.98,0
111,8.0,0.5,7.0,24,0.99,0
113,8.0,0.5,7.0,28,0.95,0
112,8.0,0.5,7.0,28,0.96,0
110,8.0,0.5,7.0,28,0.97,0
110,8.0,0.5,7.0,28,0.98,0
110,8.0,0.5,7.0,28,0.99,0
110,8.0,0.5,7.0,32,0.95,0
110,8.0,0.5,7.0,32,0.96,0
110,8.0,0.5,7.0,32,0.97,0
110,8.0,0.5,7.0,32,0.98,0
110,8.0,0.5,7.0,32,0.99,0
115,9.0,0.5,5.0,8,0.95,0
115,9.0,0.5,5.0,8,0.96,0
115,9.0,0.5,5.0,8,0.97,0
115,9.0,0.5,5.0,8,0.98,0
115,9.0,0.5,5.0,8,0.99,0
114,9.0,0.5,5.0,12,0.95,0
114,9.0,0.5,5.0,12,0.96,0
116,9.0,0.5,5.0,12,0.97,0
115,9.0,0.5,5.0,12,0.98,0
115,9.0,0.5,5.0,12,0.99,0
114,9.0,0.5,5.0,16,0.95,0
113,9.0,0.5,5.0,16,0.96,0
113,9.0,0.5,5.0,16,0.97,0
115,9.0,0.5,5.0,16,0.98,0
115,9.0,0.5,5.0,16,0.99,0
112,9.0,0.5,5.0,20,0.95,0
112,9.0,0.5,5.0,20,0.96,0
114,9.0,0.5,5.0,20,0.97,0
112,9.0,0.5,5.0,20,0.98,0
111,9.0,0.5,5.0,20,0.99,0
113,9.0,0.5,5.0,24,0.95,0
112,9.0,0.5,5.0,24,0.96,0
111,9.0,0.5,5.0,24,0.97,0
111,9.0,0.5,5.0,24,0.98,0
110,9.0,0.5,5.0,24,0.99,0
110,9.0,0.5,5.0,28,0.95,0
110,9.0,0.5,5.0,28,0.96,0
110,9.0,0.5,5.0,28,0.97,0
110,9.0,0.5,5.0,28,0.98,0
110,9.0,0.5,5.0,28,0.99,0
110,9.0,0.5,5.0,32,0.95,0
110,9.0,0.5,5.0,32,0.96,0
110,9.0,0.5,5.0,32,0.97,0
110,9.0,0.5,5.0,32,0.98,0
110,9.0,0.5,5.0,32,0.99,0
498,9.0,0.5,6.0,8,0.95,0
498,9.0,0.5,6.0,8,0.96,0
496,9.0,0.5,6.0,8,0.97,0
494,9.0,0.5,6.0,8,0.98,0
494,9.0,0.5,6.0,8,0.99,0
490,9.0,0.5,6.0,12,0.95,0
489,9.0,0.5,6.0,12,0.96,0
489,9.0,0.5,6.0,12,0.97,0
488,9.0,0.5,6.0,12,0.98,0
488,9.0,0.5,6.0,12,0.99,0
488,9.0,0.5,6.0,16,0.95,0
484,9.0,0.5,6.0,16,0.96,0
485,9.0,0.5,6.0,16,0.97,0
483,9.0,0.5,6.0,16,0.98,0
481,9.0,0.5,6.0,16,0.99,0
481,9.0,0.5,6.0,20,0.95,0
480,9.0,0.5,6.0,20,0.96,0
479,9.0,0.5,6.0,20,0.97,0
477,9.0,0.5,6.0,20,0.98,0
478,9.0,0.5,6.0,20,0.99,0
116,9.0,0.5,6.0,24,0.95,0
115,9.0,0.5,6.0,24,0.96,0
114,9.0,0.5,6.0,24,0.97,0
113,9.0,0.5,6.0,24,0.98,0
111,9.0,0.5,6.0,24,0.99,0
112,9.0,0.5,6.0,28,0.95,0
112,9.0,0.5,6.0,28,0.96,0
110,9.0,0.5,6.0,28,0.97,0
110,9.0,0.5,6.0,28,0.98,0
110,9.0,0.5,6.0,28,0.99,0
110,9.0,0.5,6.0,32,0.95,0
110,9.0,0.5,6.0,32,0.96,0
110,9.0,0.5,6.0,32,0.97,0
110,9.0,0.5,6.0,32,0.98,0
110,9.0,0.5,6.0,32,0.99,0
491,9.0,0.5,7.0,8,0.95,0
491,9.0,0.5,7.0,8,0.96,0
491,9.0,0.5,7.0,8,0.97,0
490,9.0,0.5,7.0,8,0.98,0
491,9.0,0.5,7.0,8,0.99,0
491,9.0,0.5,7.0,12,0.95,0
489,9.0,0.5,7.0,12,0.96,0
490,9.0,0.5,7.0,12,0.97,0
490,9.0,0.5,7.0,12,0.98,0
489,9.0,0.5,7.0,12,0.99,0
488,9.0,0.5,7.0,16,0.95,0
486,9.0,0.5,7.0,16,0.96,0
485,9.0,0.5,7.0,16,0.97,0
483,9.0,0.5,7.0,16,0.98,0
481,9.0,0.5,7.0,16,0.99,0
482,9.0,0.5,7.0,20,0.95,0
481,9.0,0.5,7.0,20,0.96,0
479,9.0,0.5,7.0,20,0.97,0
479,9.0,0.5,7.0,20,0.98,0
476,9.0,0.5,7.0,20,0.99,0
115,9.0,0.5,7.0,24,0.95,0
115,9.0,0.5,7.0,24,0.96,0
114,9.0,0.5,7.0,24,0.97,0
113,9.0,0.5,7.0,24,0.98,0
111,9.0,0.5,7.0,24,0.99,0
113,9.0,0.5,7.0,28,0.95,0
112,9.0,0.5,7.0,28,0.96,0
110,9.0,0.5,7.0,28,0.97,0
110,9.0,0.5,7.0,28,0.98,0
110,9.0,0.5,7.0,28,0.99,0
110,9.0,0.5,7.0,32,0.95,0
110,9.0,0.5,7.0,32,0.96,0
110,9.0,0.5,7.0,32,0.97,0
110,9.0,0.5,7.0,32,0.98,0
110,9.0,0.5,7.0,32,0.99,0
114,10.0,0.5,5.0,8,0.95,0
114,10.0,0.5,5.0,8,0.96,0
114,10.0,0.5,5.0,8,0.97,0
114,10.0,0.5,5.0,8,0.98,0
114,10.0,0.5,5.0,8,0.99,0
116,10.0,0.5,5.0,12,0.95,0
116,10.0,0.5,5.0,12,0.96,0
115,10.0,0.5,5.0,12,0.97,0
115,10.0,0.5,5.0,12,0.98,0
115,10.0,0.5,5.0,12,0.99,0
113,10.0,0.5,5.0,16,0.95,0
116,10.0,0.5,5.0,16,0.96,0
115,10.0,0.5,5.0,16,0.97,0
115,10.0,0.5,5.0,16,0.98,0
115,10.0,0.5,5.0,16,0.99,0
112,10.0,0.5,5.0,20,0.95,0
114,10.0,0.5,5.0,20,0.96,0
113,10.0,0.5,5.0,20,0.97,0
112,10.0,0.5,5.0,20,0.98,0
113,10.0,0.5,5.0,20,0.99,0
113,10.0,0.5,5.0,24,0.95,0
112,10.0,0.5,5.0,24,0.96,0
111,10.0,0.5,5.0,24,0.97,0
110,10.0,0.5,5.0,24,0.98,0
110,10.0,0.5,5.0,24,0.99,0
110,10.0,0.5,5.0,28,0.95,0
110,10.0,0.5,5.0,28,0.96,0
110,10.0,0.5,5.0,28,0.97,0
110,10.0,0.5,5.0,28,0.98,0
110,10.0,0.5,5.0,28,0.99,0
110,10.0,0.5,5.0,32,0.95,0
110,10.0,0.5,5.0,32,0.96,0
110,10.0,0.5,5.0,32,0.97,0
110,10.0,0.5,5.0,32,0.98,0
110,10.0,0.5,5.0,32,0.99,0
499,10.0,0.5,6.0,8,0.95,0
499,10.0,0.5,6.0,8,0.96,0
495,10.0,0.5,6.0,8,0.97,0
495,10.0,0.5,6.0,8,0.98,0
495,10.0,0.5,6.0,8,0.99,0
490,10.0,0.5,6.0,12,0.95,0
489,10.0,0.5,6.0,12,0.96,0
490,10.0,0.5,6.0,12,0.97,0
488,10.0,0.5,6.0,12,0.98,0
488,10.0,0.5,6.0,12,0.99,0
486,10.0,0.5,6.0,16,0.95,0
486,10.0,0.5,6.0,16,0.96,0
484,10.0,0.5,6.0,16,0.97,0
483,10.0,0.5,6.0,16,0.98,0
482,10.0,0.5,6.0,16,0.99,0
